Condition ID,Description,Control,Time (min),PMID,Organism,Biological Sample,Labelling Type,Labelling Method,Spectrometer,Enrichment,Condition label,Total Sites In Atlas
1379_286,chlorzoxazone,carmustine,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,chlorzoxazone_vs_carmustine,2308
1380_286,carmustine,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,carmustine,2304
1383_286,doxorubicin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,doxorubicin,2498
1384_286,staurosporine,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,staurosporine_vs_DMSO,2743
1385_286,staurosporine,daunorubicin,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,staurosporine_vs_daunorubicin,2743
1386_286,daunorubicin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,daunorubicin,2751
1387_286,irinotecan,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,irinotecan_vs_DMSO,2589
1388_286,irinotecan,dexverapamil,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,irinotecan_vs_dexverapamil,2590
1389_286,dexverapamil,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,dexverapamil,2604
1390_286,scriptaid,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,scriptaid_vs_DMSO,2493
1391_286,scriptaid,mesalazine,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,scriptaid_vs_mesalazine,2493
1392_286,mesalazine,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,mesalazine,2493
1393_286,trichostatin A,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,trichostatin A_vs_DMSO,2198
1394_286,trichostatin A,anisomycin,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,trichostatin A_vs_anisomycin,2198
1395_286,anisomycin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,anisomycin,2201
1398_286,digitoxigenin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,digitoxigenin,2577
1399_286,valproic acid,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,valproic acid_vs_DMSO,2167
1400_286,valproic acid,digoxigenin,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,valproic acid_vs_digoxigenin,2167
1401_286,digoxigenin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,digoxigenin,2166
1404_286,digoxin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,digoxin,2511
1405_286,geldanamycin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,geldanamycin_vs_DMSO,2567
1406_286,geldanamycin,Lanatoside C,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,geldanamycin_vs_Lanatoside C,2567
1407_286,Lanatoside C,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,Lanatoside C,2570
1408_286,fulvestrant,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,fulvestrant_vs_DMSO,2442
